Week,Bicycle
10/20/2019,44
10/27/2019,41
11/3/2019,41
11/10/2019,40
11/17/2019,41
11/24/2019,41
12/1/2019,41
12/8/2019,40
12/15/2019,40
12/22/2019,39
12/29/2019,41
1/5/2020,40
1/12/2020,41
1/19/2020,40
1/26/2020,39
2/2/2020,39
2/9/2020,40
2/16/2020,45
2/23/2020,39
3/1/2020,44
3/8/2020,43
3/15/2020,43
3/22/2020,48
3/29/2020,52
4/5/2020,67
4/12/2020,69
4/19/2020,75
4/26/2020,82
5/3/2020,88
5/10/2020,89
5/17/2020,95
5/24/2020,94
5/31/2020,100
6/7/2020,93
6/14/2020,92
6/21/2020,91
6/28/2020,91
7/5/2020,87
7/12/2020,91
7/19/2020,87
7/26/2020,86
8/2/2020,85
8/9/2020,81
8/16/2020,80
8/23/2020,76
8/30/2020,75
9/6/2020,74
9/13/2020,71
9/20/2020,67
9/27/2020,64
10/4/2020,61
10/11/2020,55
10/18/2020,56
10/25/2020,55
11/1/2020,53
11/8/2020,56
11/15/2020,54
11/22/2020,58
11/29/2020,56
12/6/2020,54
12/13/2020,53
12/20/2020,51
12/27/2020,54
1/3/2021,53
1/10/2021,51
1/17/2021,51
1/24/2021,53
1/31/2021,54
2/7/2021,49
2/14/2021,56
2/21/2021,64
2/28/2021,66
3/7/2021,68
3/14/2021,65
3/21/2021,72
3/28/2021,79
4/4/2021,73
4/11/2021,71
4/18/2021,75
4/25/2021,69
5/2/2021,69
5/9/2021,76
5/16/2021,68
5/23/2021,67
5/30/2021,75
6/6/2021,69
6/13/2021,72
6/20/2021,64
6/27/2021,64
7/4/2021,64
7/11/2021,65
7/18/2021,67
7/25/2021,67
8/1/2021,65
8/8/2021,69
8/15/2021,65
8/22/2021,64
8/29/2021,59
9/5/2021,62
9/12/2021,60
9/19/2021,58
9/26/2021,56
10/3/2021,52
10/10/2021,52
10/17/2021,52
10/24/2021,49
10/31/2021,50
11/7/2021,50
11/14/2021,47
11/21/2021,48
11/28/2021,43
12/5/2021,44
12/12/2021,41
12/19/2021,39
12/26/2021,40
1/2/2022,46
1/9/2022,44
1/16/2022,45
1/23/2022,43
1/30/2022,44
2/6/2022,45
2/13/2022,49
2/20/2022,48
2/27/2022,52
3/6/2022,58
3/13/2022,61
3/20/2022,63
3/27/2022,62
4/3/2022,60
4/10/2022,63
4/17/2022,64
4/24/2022,62
5/1/2022,62
5/8/2022,63
5/15/2022,61
5/22/2022,64
5/29/2022,60
6/5/2022,65
6/12/2022,65
6/19/2022,69
6/26/2022,63
7/3/2022,67
7/10/2022,64
7/17/2022,63
7/24/2022,62
7/31/2022,61
8/7/2022,66
8/14/2022,63
8/21/2022,62
8/28/2022,57
9/4/2022,54
9/11/2022,52
9/18/2022,50
9/25/2022,49
10/2/2022,48
10/9/2022,45
10/16/2022,44
10/23/2022,44
10/30/2022,44
11/6/2022,42
11/13/2022,42
11/20/2022,41
11/27/2022,41
12/4/2022,37
12/11/2022,36
12/18/2022,37
12/25/2022,40
1/1/2023,42
1/8/2023,41
1/15/2023,38
1/22/2023,40
1/29/2023,41
2/5/2023,41
2/12/2023,41
2/19/2023,44
2/26/2023,45
3/5/2023,49
3/12/2023,51
3/19/2023,54
3/26/2023,52
4/2/2023,56
4/9/2023,57
4/16/2023,59
4/23/2023,57
4/30/2023,62
5/7/2023,59
5/14/2023,62
5/21/2023,64
5/28/2023,67
6/4/2023,63
6/11/2023,63
6/18/2023,64
6/25/2023,63
7/2/2023,64
7/9/2023,63
7/16/2023,65
7/23/2023,62
7/30/2023,61
8/6/2023,61
8/13/2023,60
8/20/2023,56
8/27/2023,56
9/3/2023,58
9/10/2023,53
9/17/2023,54
9/24/2023,50
10/1/2023,51
10/8/2023,49
10/15/2023,45
10/22/2023,43
10/29/2023,43
11/5/2023,43
11/12/2023,39
11/19/2023,43
11/26/2023,41
12/3/2023,39
12/10/2023,42
12/17/2023,39
12/24/2023,42
12/31/2023,41
1/7/2024,41
1/14/2024,41
1/21/2024,40
1/28/2024,38
2/4/2024,41
2/11/2024,40
2/18/2024,42
2/25/2024,44
3/3/2024,48
3/10/2024,48
3/17/2024,53
3/24/2024,56
3/31/2024,54
4/7/2024,64
4/14/2024,56
4/21/2024,55
4/28/2024,59
5/5/2024,58
5/12/2024,59
5/19/2024,59
5/26/2024,61
6/2/2024,56
6/9/2024,55
6/16/2024,59
6/23/2024,57
6/30/2024,59
7/7/2024,57
7/14/2024,60
7/21/2024,61
7/28/2024,60
8/4/2024,60
8/11/2024,62
8/18/2024,58
8/25/2024,57
9/1/2024,55
9/8/2024,54
9/15/2024,50
9/22/2024,49
9/29/2024,47
10/6/2024,48
10/13/2024,46
10/20/2024,44
