bike_name,bike_type,date_ordered,quantity
UrbanCommuter 500,Hybrid Bike,2022-05-14,1
BMX Freestyle Pro,BMX,2024-03-06,2
Roadmaster Pro,Road Bike,2021-01-03,3
Hybrid Explorer,Hybrid Bike,2024-08-28,3
AirMaster 300,BMX,2023-02-04,2
Mountain Climber XT,Mountain Bike,2024-02-05,3
 Speedster Pro,Road Bike,2020-04-13,4
 Speedster Pro,Road Bike,2022-11-12,2
 Speedster Pro,Road Bike,2024-06-27,2
 Speedster Pro,Road Bike,2021-07-21,8
AirMaster 300,BMX,2023-01-16,3
AirMaster 300,BMX,2023-06-14,5
Hybrid Explorer,Hybrid Bike,2023-07-26,8
Roadmaster Pro,Road Bike,2022-08-21,7
TrailBlazer XT,Mountain Bike,2023-08-19,10
AirMaster 300,BMX,2021-06-07,7
 Speedster Pro,Road Bike,2023-10-15,2
Roadmaster Pro,Road Bike,2024-09-16,2
Mountain Climber XT,Mountain Bike,2020-06-11,2
AirMaster 300,BMX,2022-02-26,3
TrailBlazer XT,Mountain Bike,2024-05-10,1
TrailBlazer XT,Mountain Bike,2022-01-27,5
 Speedster Pro,Road Bike,2023-02-18,3
BMX Freestyle Pro,BMX,2020-06-08,6
BMX Freestyle Pro,BMX,2021-12-05,2
Roadmaster Pro,Road Bike,2022-07-05,8
TrailBlazer XT,Mountain Bike,2024-01-23,1
AirMaster 300,BMX,2023-01-03,2
Mountain Climber XT,Mountain Bike,2022-04-11,3
AirMaster 300,BMX,2020-04-14,4
TrailBlazer XT,Mountain Bike,2024-04-09,2
BMX Freestyle Pro,BMX,2022-01-20,1
BMX Freestyle Pro,BMX,2023-06-24,6
AirMaster 300,BMX,2023-06-22,5
AirMaster 300,BMX,2022-07-30,11
BMX Freestyle Pro,BMX,2021-02-18,2
TrailBlazer XT,Mountain Bike,2020-02-16,3
Roadmaster Pro,Road Bike,2022-03-19,2
TrailBlazer XT,Mountain Bike,2020-09-19,3
Roadmaster Pro,Road Bike,2024-07-31,1
Roadmaster Pro,Road Bike,2022-10-11,3
AirMaster 300,BMX,2021-06-25,5
AirMaster 300,BMX,2022-10-12,3
Hybrid Explorer,Hybrid Bike,2023-03-04,1
Mountain Climber XT,Mountain Bike,2022-09-05,2
Roadmaster Pro,Road Bike,2021-01-24,3
Roadmaster Pro,Road Bike,2023-07-16,8
BMX Freestyle Pro,BMX,2022-02-27,2
UrbanCommuter 500,Hybrid Bike,2020-08-20,6
BMX Freestyle Pro,BMX,2020-07-28,9
 Speedster Pro,Road Bike,2023-07-15,6
AirMaster 300,BMX,2020-01-10,3
UrbanCommuter 500,Hybrid Bike,2024-03-29,2
TrailBlazer XT,Mountain Bike,2023-07-26,12
Mountain Climber XT,Mountain Bike,2023-01-14,2
UrbanCommuter 500,Hybrid Bike,2022-03-14,3
TrailBlazer XT,Mountain Bike,2022-06-02,7
 Speedster Pro,Road Bike,2024-05-13,3
Hybrid Explorer,Hybrid Bike,2024-03-09,2
AirMaster 300,BMX,2021-04-27,3
Mountain Climber XT,Mountain Bike,2023-08-26,11
Hybrid Explorer,Hybrid Bike,2023-03-01,4
Hybrid Explorer,Hybrid Bike,2022-05-16,3
